SOCOM: U.S. Navy SEALs,PS2,2002,Shooter
Guitar Hero: World Tour,Wii,2008,Misc
Gran Turismo 6,PS3,2013,Racing
Jak and Daxter: The Precursor Legacy,PS2,2001,Platform
Pokemon Snap,N64,1999,Simulation
FIFA Soccer 10,PS3,2009,Sports
Pro Evolution Soccer 2008,PS2,2007,Sports
Call of Duty: Ghosts,PS4,2013,Shooter
Resident Evil 4,PS2,2005,Action
Tom Clancy's The Division,PS4,2016,Shooter
Star Wars: Battlefront,PS2,2004,Shooter
Doom II: Hell on Earth,PC,1994,Shooter
The Simpsons: Road Rage,PS2,2001,Racing
Cooking Mama 2: Dinner With Friends,DS,2007,Simulation
Luigi's Mansion,GC,2001,Action
Star Wars: Battlefront II,PS2,2005,Shooter
WWF SmackDown!,PS,2000,Fighting
Croc: Legend of the Gobbos,PS,1997,Platform
Grand Theft Auto: Liberty City Stories,PS2,2006,Action
The Getaway,PS2,2002,Action
Tomb Raider III: Adventures of Lara Croft,PS,1997,Action
James Bond 007: Agent Under Fire,PS2,2001,Shooter
LEGO Star Wars: The Video Game,PS2,2005,Action
Battlefield 4,X360,2013,Shooter
FIFA Soccer 11,X360,2010,Sports
Rugrats in Paris: The Movie,PS,2000,Action
Spyro 2: Ripto's Rage!,PS,1999,Platform
Left 4 Dead,X360,2008,Shooter
Mario & Sonic at the Olympic Winter Games,DS,2009,Sports
Resident Evil 5,X360,2009,Action
Donkey Kong Country 3: Dixie Kong's Double Trouble!,SNES,1996,Platform
Assassin's Creed: Brotherhood,X360,2010,Action
Kung Fu,NES,1985,Action
Batman: Arkham Asylum,X360,2009,Action
Clubhouse Games,DS,2006,Misc
FIFA Soccer 2004,PS2,N/A,Sports
Star Wars Battlefront (2015),XOne,2015,Shooter
Battlefield: Bad Company 2,X360,2010,Shooter
Guitar Hero: On Tour,DS,2008,Misc
Assassin's Creed: Unity,XOne,2014,Action
Far Cry 3,PS3,2012,Shooter
Monster Hunter 4,3DS,2013,Role-Playing
Borderlands,X360,2009,Shooter
Tekken 4,PS2,2002,Fighting
Battlefield 4,PS4,2013,Shooter
LittleBigPlanet 2,PS3,2011,Platform
Grand Theft Auto 2,PS,1998,Action
Final Fantasy III,SNES,1994,Role-Playing
Spider-Man 2,PS2,2004,Action
F-1 Race,GB,1990,Racing
FIFA Soccer 2003,PS2,2002,Sports
Crash Bash,PS,2000,Misc
LEGO Batman: The Videogame,X360,2008,Action
Metal Gear Solid V: The Phantom Pain,PS4,2015,Action
The Legend of Zelda: Spirit Tracks,DS,2009,Action
WWF War Zone,PS,1998,Fighting
The Legend of Zelda: Majora's Mask,N64,2000,Action
Professor Layton and the Unwound Future,DS,2008,Puzzle
Rugrats: Search For Reptar,PS,1998,Adventure
Assassin's Creed IV: Black Flag,X360,2013,Action
English Training: Have Fun Improving Your Skills!,DS,2006,Misc
James Bond 007: Nightfire,PS2,2002,Shooter
Ratchet & Clank,PS2,2002,Platform
Mario Party 9,Wii,2012,Misc
Star Wars Episode III: Revenge of the Sith,PS2,2005,Action
Max Payne,PS2,2001,Shooter
The Lord of the Rings: The Return of the King,PS2,2003,Action
Assassin's Creed Syndicate,PS4,2015,Action
Destiny,XOne,2014,Shooter
True Crime: Streets of LA,PS2,2003,Action
Wii Music,Wii,2008,Misc
Gran Turismo (PSP),PSP,2009,Racing
Monster Hunter X,3DS,2015,Action
Tekken,PS,1995,Fighting
FIFA 16,XOne,2015,Sports
L.A. Noire,PS3,2011,Adventure
Madden NFL 16,PS4,2015,Sports
Yokai Watch 2 Ganso/Honke,3DS,2014,Role-Playing
007: Tomorrow Never Dies,PS,1999,Shooter
Baseball,NES,1983,Sports
Killer Instinct,SNES,1995,Fighting
WWF SmackDown! 2: Know Your Role,PS,2000,Fighting
Crisis Core: Final Fantasy VII,PSP,2007,Role-Playing
God of War: Chains of Olympus,PSP,2008,Action
Dragon Quest VI: Maboroshi no Daichi,SNES,1995,Role-Playing
Dance Central,X360,2010,Misc
Enter the Matrix,PS2,2003,Action
Super Mario Maker,WiiU,2015,Platform
Fallout: New Vegas,PS3,2010,Role-Playing
